nombre;codigo_local;provincia;distrito;centro_poblado;direccion;tipo_gestion
LAS AMERICAS COLLEGE;705933;Chiclayo;José Leonardo Ortiz;ATUSPARIAS;CALLE JOSE OLAYA 191;Privada
ADVENTISTA PIMENTEL;705947;Chiclayo;Pimentel;PIMENTEL;CARRETERA PIMENTEL KM 9;Privada
TRILCE CHICLAYO;706739;Chiclayo;Chiclayo;CHICLAYO;AVENIDA GRAU 950;Privada
SANTISIMA VIRGEN DE LA PUERTA;706744;Chiclayo;Zaña;SALTUR;AVENIDA PROLONGACION RAMON CASTILLA S/N SECTOR PUEBLO NUEVO;Privada
SANTISIMA VIRGEN DE LA PUERTA;706758;Chiclayo;Zaña;SALTUR;CALLE ZOILA DAVILA S/N;Privada
ESLID;715885;Chiclayo;Chiclayo;LAS BRISAS;CALLE EL MENSAJERO 197;Privada
PATRONA DE LAS AMERICAS;716291;Chiclayo;José Leonardo Ortiz;JOSE LEONARDO ORTIZ;CALLE SANTA ROSA S/N MZ P LOTE 38-39;Privada
ERNEST HEMINGWAY;716743;Chiclayo;Chiclayo;CHICLAYO;CALLE VICENTE DE LA VEGA 1425;Privada
MANITOS CREATIVAS;716757;Chiclayo;Monsefú;MONSEFU;CALLE MARISCAL CASTILLA 839;Privada
RITELA COLLEGE;716762;Chiclayo;Pátapo;PATAPO;CALLE 3 DE OCTUBRE EX MOLINO S/N;Privada
428 ESTRELLITAS DE SAN RAFAEL;726643;Chiclayo;La Victoria;LA VICTORIA;MZ E LOTE 2;Pública
429 LUCERITOS DE SANTO TOMAS;726681;Chiclayo;La Victoria;LA VICTORIA;MZ J LOTE 6;Pública
430;726704;Chiclayo;José Leonardo Ortiz;JOSE LEONARDO ORTIZ;CALLE SAN MARTIN MZ Ñ LOTE 15;Pública
431;726718;Chiclayo;Monsefú;SANTA CATALINA;MZ C LOTE 8;Pública
434;726723;Chiclayo;Tumán;PAMPA EL TORO;MZ 20 LOTE 01;Pública
435 ANGELITOS DE SAN JOSE;726737;Chiclayo;Monsefú;MONSEFU;CARRETERA A ETEN PP.JJ.;Pública
436 LOS ANGELITOS DE SAN JUAN DE DIOS;726742;Chiclayo;José Leonardo Ortiz;JOSE LEONARDO ORTIZ;MZ B LOTE 23 PP.JJ.;Pública
438;726756;Chiclayo;José Leonardo Ortiz;JOSE LEONARDO ORTIZ;MZ J LOTE 8 PP.JJ.;Pública
439 LOS AMIGUITOS DE EMILIA BARCIA;726761;Chiclayo;Tumán;TUMAN;MZ 45 LOTE 6;Pública
440;726775;Chiclayo;Pimentel;PIMENTEL;CALLE LAS BEGONIAS S/N LOTE 10 PP.JJ.;Pública
441;726780;Chiclayo;Chiclayo;CHICLAYO;JIRON CHILE S/N;Pública
442 ESTRELLITAS DE JESUS;726799;Chiclayo;José Leonardo Ortiz;JOSE LEONARDO ORTIZ;CALLE LOS LARIOS S/N;Pública
443;726803;Chiclayo;Pátapo;LAS CANTERAS;LAS CANTERAS;Pública
444 SANTA LUPITA;726817;Chiclayo;Monsefú;TULLUME;CALLE VALIENTE CORREA S/N;Pública
JOSE ASALDE JUAREZ;726822;Chiclayo;Pimentel;PIMENTEL;CALLE ATAHUALPA 511;Privada
SANTA CATALINA SCHOOL;726836;Chiclayo;José Leonardo Ortiz;JOSE LEONARDO ORTIZ;VICTOR RAUL HAYA DE LA TORRE PP.JJ.;Privada
432 CAPULLITOS DE AMOR;731833;Chiclayo;Monsefú;MONSEFU;MZ A;Pública
433;731847;Chiclayo;La Victoria;SAGRADO CORAZON DE JESUS;MZ B LOTE 21;Pública
437 MUCHIK WAWA;731852;Chiclayo;Monsefú;VALLE HERMOSO;VALLE HERMOSO;Pública
HIJOS DE DON BOSCO;737081;Chiclayo;Pimentel;PIMENTEL;MZ Ñ LOTE 10;Privada
INNOVA SCHOOLS;737095;Chiclayo;Pimentel;PIMENTEL;CARRETERA PIMENTEL LOTE 4 SECTOR LOS LAGOS;Privada
UNICIENCIA;737104;Chiclayo;José Leonardo Ortiz;JOSE LEONARDO ORTIZ;AVENIDA VENEZUELA 3425 PP.JJ.;Privada
ESTRELLA DE BELEN;737118;Chiclayo;La Victoria;LA VICTORIA;AVENIDA PACHACUTEC 1787;Privada
ESTRELLA DE BELEN;745514;Chiclayo;La Victoria;LA VICTORIA;AVENIDA MACHU PICCHU 859;Privada
CERROPON;746537;Chiclayo;Chiclayo;CHICLAYO;CALLE SAN MARCOS;Privada
SAN RICARDO;746542;Chiclayo;Chongoyape;CHONGOYAPE;CALLE SIMON BOLIVAR 2220;Privada
SAN FRANCISCO SCHOOL;748428;Chiclayo;Chiclayo;CHICLAYO;CALLE VICENTE DE LA VEGA 1425;Privada
MENTES BRILLANTES;750096;Chiclayo;José Leonardo Ortiz;JOSE LEONARDO ORTIZ;JIRON CABILDO 159;Privada
GEORGE BUTLER;750100;Chiclayo;José Leonardo Ortiz;JOSE LEONARDO ORTIZ;AVENIDA PANAMA 1183;Privada
CHAMPAGNAT;753603;Chiclayo;Pimentel;PIMENTEL;AVENIDA PACIFICO 547;Privada
PEQUEÑOS GENIOS COLLEGE;754985;Chiclayo;Chiclayo;CHICLAYO;CALLE SIETE DE ENERO 289;Privada
VIRGEN DEL CARMEN;754990;Chiclayo;Chiclayo;CHICLAYO;CALLE ARMANDO ALVA DIAZ 380;Privada
ADMIRABLE MAESTRO;755008;Chiclayo;José Leonardo Ortiz;JOSE LEONARDO ORTIZ;CALLE LAS FLORES MZ A LOTE 06;Privada
SAN LORENZO;755923;Chiclayo;Chongoyape;CUCULI;CALLE OFICINA 07;Privada
DAVID SCHOOL;757352;Chiclayo;José Leonardo Ortiz;JOSE LEONARDO ORTIZ;CALLE RAUL JIMENEZ MZ J LOTE 11-12;Privada
PASITO A PASO;757366;Chiclayo;Chiclayo;CHICLAYO;CALLE LAS MAGNOLIAS 415;Privada
JOYAS PRECIOSAS;757371;Chiclayo;La Victoria;LA VICTORIA;CALLE AYLLU 162;Privada
SAN MARTIN COLLEGE;757385;Chiclayo;Chiclayo;CHICLAYO;CALLE NAZARET 621;Privada
LA CATOLICA DE BELEN;757408;Chiclayo;Chiclayo;CHICLAYO;JIRON DANUBIO 197;Privada
10115 SANTA JULIA;758120;Chiclayo;Pimentel;PIMENTEL;LA PRADERA;Pública
ISAAC NEWTON HIGH SCHOOL;758144;Chiclayo;Pátapo;PATAPO;AVENIDA LOS PINOS 11;Privada
461 SANTA ELENA;758182;Chiclayo;Chiclayo;CHICLAYO;MZ F,G,H;Pública
462 NIÑOS DE LA MADRE DEL SANTO ROSARIO;758219;Chiclayo;Chiclayo;LAS BRISAS;PASAJE SAN PEDRO S/N;Pública
463 SEMILLITAS DE MARIA;758224;Chiclayo;Lagunas;LAGUNAS;LOS PEROLES S/N;Pública
464 ANGELITOS DE GUADALUPE;758238;Chiclayo;Chiclayo;SAUL CANTORAL HUAMANI;MZ 1 LOTE 1;Pública
465 SANTA CATALINA DE ALEJANDRIA;758243;Chiclayo;Chongoyape;CHONGOYAPE;CALLE SIMON BOLIVAR CUADRA 11 MZ 32 LOTE 6;Pública
466 ANGELITOS DEL SABER;758257;Chiclayo;Chongoyape;ZAPOTAL;ZAPOTAL;Pública
467 ESTRELLITAS DEL CARMEN;758262;Chiclayo;Lagunas;PUEBLO NUEVO DE LAGUNAS;VIRGEN DEL CARMEN;Pública
468;758276;Chiclayo;Monsefú;MONSEFU;SAN PABLO;Pública
469 CAPULLITOS DE JESUS;758281;Chiclayo;Pátapo;DESAGUADERO;DESAGUADERO;Pública
470 RAYITOS DE LUZ;758295;Chiclayo;Pátapo;PUENTE TULIPE;PUENTE TULIPE;Pública
471 LOS ANGELITOS DEL INVERNILLO;758304;Chiclayo;Pomalca;INVERNILLO;EL INVERNILLO;Pública
472;758318;Chiclayo;Reque;NUEVO REQUE;NUEVO REQUE SECTOR NUEVO REQUE;Pública
473;758323;Chiclayo;Zaña;SAN NICOLAS;CARRETERA SAN NICOLAS;Pública
FRANCISCO I;777595;Chiclayo;Pimentel;PIMENTEL;MZ S LOTE 1;Pública
SANTA ROSA DE LUZ;781125;Chiclayo;José Leonardo Ortiz;ATUSPARIAS;CALLE PEDRO PABLO ATUSPARIAS 483;Privada
KINDER GARDEN TRAVESURAS;784082;Chiclayo;Puerto Eten;PUERTO DE ETEN;CALLE MARIO PASCO 129;Privada
CORAZON DE BELEN;784096;Chiclayo;José Leonardo Ortiz;JOSE LEONARDO ORTIZ;CALLE TULIPANES S/N LOTE 13-14;Privada
INNOVA AMIGUITOS DE JESUS;785393;Chiclayo;Zaña;HUACA RAJADA;HUACA RAJADA;Privada
EBENEZER SCHOOL;786302;Chiclayo;José Leonardo Ortiz;NUEVO SAN LORENZO;CALLE SANTIAGO 332;Privada
500 TESOROS DE JESUS;787783;Chiclayo;La Victoria;LA VICTORIA;AVENIDA ANTENOR ORREGO S/N;Pública
501;787797;Chiclayo;Monsefú;PONCOY;PONCOY;Pública
502;787801;Chiclayo;Zaña;ZAÑA;SANTIAGO DE MIRAFLORES;Pública
MARIA DE LOS ANGELES;803052;Chiclayo;Chongoyape;CHONGOYAPE;AVENIDA CHICLAYO 2041 MZ 78 LOTE 9;Privada
CONSORCIO EDUCATIVO TALENTOS II;803066;Chiclayo;José Leonardo Ortiz;JOSE LEONARDO ORTIZ;CALLE 28 DE JULIO 317-318;Privada
MAGISTER CHICLAYO;803071;Chiclayo;Tumán;TUMAN;CALLE SANTA ANA-BLOCK 18 1898;Privada
SAINT GEORGE COLLEGE;805334;Chiclayo;Chiclayo;CHICLAYO;CALLE LEONCIO PRADO 443;Privada
10053 JAVIER PEREZ DE CUELLAR;805348;Chiclayo;La Victoria;CHOSICA DEL NORTE;MZ 8 LOTE 4;Pública
11631 EL EDEN;806734;Chiclayo;Chiclayo;CHICLAYO;MZ 8 LOTE 01;Pública
EMPRENDEDORES GAJEL;810161;Chiclayo;Chiclayo;CHICLAYO;CALLE LORA Y CORDERO 452;Privada
LOS ANGELES DE JESUS;811679;Chiclayo;Pimentel;FERMIN AVILA MORO;MZ Ñ LOTE 10;Privada
FUTURA SCHOOLS;811684;Chiclayo;Pimentel;LA GARITA;LOTE 12-02-0;Privada
ALTAIR SCHOOL;811877;Chiclayo;Chiclayo;CHICLAYO;MZ I LOTE 7 -8;Privada
MISIONERO CRISTO REY;814710;Chiclayo;Chongoyape;PAMPAGRANDE;AVENIDA GARCILAZO DE LA VEGA S/N;Privada
534;816498;Chiclayo;Chiclayo;LAS BRISAS;PASAJE ROSARIO S/N MZ 14 LOTE 7;Pública
535;816506;Chiclayo;José Leonardo Ortiz;JESUS NAZARENO;CALLE JOSE CARLOS MARIATEGUI S/N MZ 5 LOTE 1;Pública
536 PEQUEÑAS ALEGRIAS;816511;Chiclayo;José Leonardo Ortiz;LOS CLAVELES;CALLE LOS PINOS MZ 6 LOTE 7;Pública
537;816525;Chiclayo;José Leonardo Ortiz;JOSE SANTOS CHOCANO;CALLE JOSE CARLOS MARIATEGUI S/N MZ Z LOTE 05;Pública
538 ESTRELLITAS DE FATIMA;816530;Chiclayo;Pimentel;LA PRADERA;MZ R LOTE 1;Pública
539;816549;Chiclayo;Santa Rosa;BALSARES;CALLE EDILBERTO CASAS S/N SECTOR BALSARES;Pública
540;816554;Chiclayo;Santa Rosa;MARIA CESPEDES;CALLE JOSE CASTRO VILLALOBOS S/N SECTOR MARIA CESPEDES;Pública
SAN MIGUEL;819901;Chiclayo;José Leonardo Ortiz;SAN MIGUEL;CALLE SANTA ROSA S/N;Pública
PERUANO ESPAÑOL INTER MUNDO;823899;Chiclayo;Chiclayo;CHICLAYO;CALLE MANCO CAPAC 400;Privada
ADVENTISTA LA VICTORIA;824813;Chiclayo;La Victoria;LA VICTORIA;CALLE ORFEBRES 275;Privada
SAN NICOLAS DE TOLENTINO;824827;Chiclayo;Zaña;ZAÑA;CALLE SANTO TORIBIO 457;Privada
